bolge,bolge_adi,bina_serial,tellcordia_id,location_id,ad,site_adi,blok_adi,kapi_no,mahalle,cadde,sokak,ilce,il,obek,lat,lon,kat,toplam_hp,res_hp,aktif_res,firsat,penetrasyon,ofis_km
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-144,16014720940,O765030,LALE 24 APT.,,,2,Balkan,Turan Haznedaroğlu Sk.,Turan Haznedaroğlu Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21840558782643,28.819810780152476,10,21,21,11,10,0.5238095238095238,11.368231309246818
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-58,16014720537,O565407,LEYLAK 36 APT.,,,36,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21815582702483,28.81812910897779,10,21,21,8,13,0.3809523809523809,11.511718320767368
1,Nilüfer · Dumlupınar – Balkan,BN0001010838,16003835823,O27595952,LOCA 104 A ,LOCA 104,A BLOK,28CA,Balkan,,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.20616766663058,28.812922059844823,18,30,26,8,18,0.3076923076923077,12.055268278475676
1,Nilüfer · Dumlupınar – Balkan,BN0001010839,16003835824,O27595953,LOCA 104 B ,LOCA 104,B BLOK,28BD,Balkan,,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.2063083032219,28.81291101758635,23,30,26,7,19,0.2692307692307692,12.054173337618154
1,Nilüfer · Dumlupınar – Balkan,BN0001010840,16003835821,O27595954,LOCA 104 C,LOCA 104 ,C BLOK,28BB,Balkan,,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.20646271597817,28.812879650163044,24,34,28,4,24,0.1428571428571428,12.054616421990891
1,Nilüfer · Dumlupınar – Balkan,BN0001010841,16003835822,O27595955,LOCA 104 D ,LOCA 104,D BLOK,6BA,Balkan,,Filibe Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.2066005024177,28.812860510247592,25,34,28,7,21,0.25,12.054286528737714
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-145,16014720941,O765031,MANOLYA 12 APT.,,,28,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21865467425066,28.819595835261516,10,21,21,9,12,0.4285714285714285,11.385987752853412
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-165,16014721125,O782624,MENEKŞE 20 APT.,,,7,Balkan,Göktürk Sk.,Göktürk Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21867427508046,28.821241131781555,5,21,21,7,14,0.3333333333333333,11.246120764299889
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-61,16014720538,O565410,MERCAN 136 APT.,,,3,Balkan,Dumlupınar Sk.,Dumlupınar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21768469905114,28.81312960488477,10,21,21,10,11,0.4761904761904761,11.937793369885211
1,Nilüfer · Dumlupınar – Balkan,BN0001017495,16003835854,O27703768,MERTSA,MERTSA,,Diğer,Balkan,,Begonya Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20474981304111,28.81208749729087,7,26,26,13,13,0.5,12.146996103287725
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-104,16014720822,O740290,MERİÇ 9 APT.,,,22,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21904234116842,28.82028000105771,5,21,21,7,14,0.3333333333333333,11.3271771712165
1,Nilüfer · Dumlupınar – Balkan,BN-0000377510,16014745431,O25869301,MEVA 104 APT.,,,13,Balkan,Eğridere Sk.,Eğridere Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21208284818174,28.81157378464571,7,25,24,8,16,0.3333333333333333,12.1014731930074
1,Nilüfer · Dumlupınar – Balkan,BN0001004622,16014745913,O27447629,MEVA 112,,,10,Balkan,,Lalezar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20935864415089,28.811456925970266,9,19,18,11,7,0.6111111111111112,12.138071850723346
1,Nilüfer · Dumlupınar – Balkan,BN0001010810,16003835797,O27595746,MEVA BALKAN EVLERI A,MEVA BALKAN EVLERI ,A BLOK,6B,Balkan,Lalezar Sk.,Lalezar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20889943182724,28.81130733115068,8,26,22,3,19,0.1363636363636363,12.155947157798304
1,Nilüfer · Dumlupınar – Balkan,BN0001010809,16003835788,O27595745,MEVA BALKAN EVLERI B ,MEVA BALKAN EVLERI,B BLOK,7 A,Balkan,,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20931351314349,28.810379135776948,16,24,24,8,16,0.3333333333333333,12.229720769074858
1,Nilüfer · Dumlupınar – Balkan,BN0001010811,16003835790,O27595749,MEVA BALKAN EVLERI C,MEVA BALKAN EVLERI ,C BLOK,7 C,Balkan,,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20921347396268,28.810249166307816,15,24,24,8,16,0.3333333333333333,12.24182878175434
1,Nilüfer · Dumlupınar – Balkan,BN0001010812,16003835789,O27595750,MEVA BALKAN EVLERI D,MEVA BALKAN EVLERI ,D BLOK,7 D,Balkan,,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.209067560276594,28.81025613991508,14,24,24,8,16,0.3333333333333333,12.242885476178593
1,Nilüfer · Dumlupınar – Balkan,BN0001010806,16014744238,O27595738,MEVA BULVAR SITESI A,MEVA BULVAR SITESI ,A BLOK,8,Balkan,Lalezar Sk.,Lalezar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20841254599048,28.81190824322496,12,27,26,6,20,0.2307692307692307,12.110945598477608
1,Nilüfer · Dumlupınar – Balkan,BN0001010807,16003835801,O27595741,MEVA BULVAR SITESI B ,MEVA BULVAR SITESI ,B BLOK,Diğer,Balkan,,Lalezar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20808611571747,28.81193142899721,6,26,26,16,10,0.6153846153846154,12.113003501307793
1,Nilüfer · Dumlupınar – Balkan,BN0001010808,16003835798,O27595744,MEVA BULVAR SITESI C ,MEVA BULVAR SITESI ,C BLOK,Diğer,Balkan,,Lalezar Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.20783461528001,28.81203305055299,9,26,26,9,17,0.3461538461538461,12.1075902102513
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-5,16014701844,O521723,MİNE 4 APT.,,,12,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21966161831838,28.821617620773985,5,21,21,8,13,0.3809523809523809,11.212756541113867
1,Nilüfer · Dumlupınar – Balkan,BN0001004619,16014745914,O27447626,NATURA KENT,NATURA KENT,B BLOK,22B,Balkan,,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.21077271818079,28.813766707258814,4,23,23,13,10,0.5652173913043478,11.927733649042828
1,Nilüfer · Dumlupınar – Balkan,BN0001004620,16014745915,O27447627,NATURA KENT,NATURA KENT,B BLOK,22,Balkan,,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.21059491470055,28.813940497523227,4,22,22,10,12,0.4545454545454545,11.914800818585048
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-162,16014721126,O782621,NAZLI 69 APT.,,,2,Balkan,Hastane Cd.,Hastane Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.21809149770336,28.821367334255427,4,21,21,7,14,0.3333333333333333,11.236698502173107
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-92,16014720540,O718086,NERGİZ 11 APT.,,,26,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.218924559603686,28.819857286151727,9,21,21,5,16,0.238095238095238,11.363289026149758
1,Nilüfer · Dumlupınar – Balkan,BN-0000336708,16014744378,O23475987,NEVA 105 APT.,,,10A,Balkan,Telli Turna Sk.,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21074650592395,28.80942308806617,9,21,19,1,18,0.0526315789473684,12.295753582339376
1,Nilüfer · Dumlupınar – Balkan,BN-0000400574,16014745816,O27019365,NEVA 48 SİT. A BLOK BLK.,NEVA 48,A BLOK,3A,Balkan,Remzi Keser Sk.,Remzi Keser Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.211311322809095,28.81042693265276,5,24,24,8,16,0.3333333333333333,12.205431059640144
1,Nilüfer · Dumlupınar – Balkan,BN-0000400575,16014745817,O27019366,NEVA 48 SİT. B BLOK BLK.,NEVA 48,B BLOK,6B,Balkan,Telli Turna Sk.,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21105066396718,28.81044941671489,6,24,24,7,17,0.2916666666666667,12.20594373900796
1,Nilüfer · Dumlupınar – Balkan,BN0001011310,16003835861,O27599569,NILUFERIUM B BLOK,NILUFERIUM,B BLOK,33EA,Balkan,Naim Süleymanoğlu Cd.,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.199885426142224,28.81490496627178,10,28,28,4,24,0.1428571428571428,12.000161849920069
1,Nilüfer · Dumlupınar – Balkan,BN0001011311,16003835862,O27599570,NILUFERIUM C BLOK,NILUFERIUM,C BLOK,33ED,Balkan,Naim Süleymanoğlu Cd.,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.19953806371688,28.81503079141192,9,28,28,5,23,0.1785714285714285,11.997000017608595
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-26,16014720539,O565375,NİKSAR 139 APT.,,,44,Balkan,Turan Haznedaroğlu Sk.,Turan Haznedaroğlu Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21807159732533,28.81359900921606,10,21,21,5,16,0.238095238095238,11.89688909435132
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-118,16014720820,O740304,NİLÜFER 21 APT.,,,12,Balkan,Göktürk Sk.,Göktürk Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.218573887088255,28.820607462152413,6,21,21,6,15,0.2857142857142857,11.300171750070833
1,Nilüfer · Dumlupınar – Balkan,BN0001011309,16003835860,O27599568,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,A BLOK,33GA,Balkan,Naim Süleymanoğlu Cd.,Naim Süleymanoğlu Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.1991113515053,28.81528470794913,11,31,31,7,24,0.2258064516129032,11.985016521345289
1,Nilüfer · Dumlupınar – Balkan,BN0001011314,16003835866,O27599573,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,F BLOK,3I,Balkan,Göçmen Sk.,Göçmen Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.19885636293986,28.81575819962597,6,30,26,7,19,0.2692307692307692,11.951157054081651
1,Nilüfer · Dumlupınar – Balkan,BN0001011315,16003835865,O27599574,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,NİLÜFERİUM SAĞLIKÇILAR KENTİ 1.ETAP,G BLOK,3B,Balkan,Göçmen Sk.,Göçmen Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.19967284530781,28.816186212762428,10,30,26,16,10,0.6153846153846154,11.897758344639325
